
CREATE TABLE IF NOT EXISTS store.orders (
    order_id INT,
    order_date DATE,
    order_qty INT,
    order_ammount DECIMAL(10,2),
    item_name VARCHAR(100),
    client_id INT REFERENCES store.clients(id)
);

INSERT INTO store.orders (order_id, order_date, order_qty, order_ammount, item_name, client_id) VALUES
(1, '2024-07-13', 2, 524.1, 'coffee maker', 4),
(1, '2024-07-13', 5, 662.96, 'tablet', 4),
(1, '2024-07-13', 1, 78.31, 'humidifier', 4),
(2, '2024-10-28', 5, 1194.48, 'smartphone', 7),
(2, '2024-10-28', 2, 953.5, 'humidifier', 7),
(2, '2024-10-28', 1, 770.87, 'coffee maker', 7),
(3, '2025-02-02', 2, 509.1, 'coffee maker', 6),
(3, '2025-02-02', 1, 138.11, 'robot vacuum cleaner', 6),
(4, '2024-12-31', 1, 743.25, 'coffee maker', 4),
(4, '2024-12-31', 4, 499.44, 'tablet', 4),
(5, '2025-01-02', 1, 93.53, 'TV', 11),
(5, '2025-01-02', 3, 2957.88, 'TV', 11),
(5, '2025-01-02', 1, 411.12, 'TV', 11),
(6, '2025-01-03', 3, 747.1, 'robot vacuum cleaner', 17),
(7, '2024-08-06', 5, 3713.35, 'laptop', 10),
(7, '2024-08-06', 4, 1641.93, 'laptop', 10),
(7, '2024-08-06', 3, 2552.13, 'TV', 10),
(8, '2024-10-26', 4, 1217.42, 'robot vacuum cleaner', 2),
(9, '2024-12-09', 4, 3561.8, 'headphones', 7),
(10, '2024-09-12', 2, 1515.48, 'laptop', 17),
(10, '2024-09-12', 5, 2285.06, 'coffee maker', 17),
(11, '2025-01-02', 5, 2594.2, 'laptop', 14),
(12, '2024-08-26', 4, 2466.35, 'laptop', 2),
(13, '2025-01-12', 5, 1444.22, 'headphones', 14),
(13, '2025-01-12', 1, 697.62, 'smartphone', 14),
(13, '2025-01-12', 3, 467.92, 'coffee maker', 14),
(14, '2024-09-19', 3, 2919.88, 'smartphone', 15),
(14, '2024-09-19', 5, 4584.98, 'laptop', 15),
(15, '2025-03-17', 2, 810.44, 'TV', 11),
(15, '2025-03-17', 5, 4779.12, 'laptop', 11),
(15, '2025-03-17', 5, 1789.74, 'smartphone', 11),
(16, '2024-08-27', 2, 210.06, 'coffee maker', 1),
(16, '2024-08-27', 1, 745.31, 'tablet', 1),
(17, '2025-03-30', 4, 3798.02, 'laptop', 3),
(18, '2024-11-13', 2, 1864.94, 'humidifier', 6),
(18, '2024-11-13', 3, 1287.13, 'TV', 6),
(18, '2024-11-13', 4, 3618.53, 'robot vacuum cleaner', 6),
(19, '2024-08-31', 1, 371.18, 'TV', 17),
(20, '2024-10-21', 1, 267.49, 'tablet', 8),
(21, '2024-12-17', 3, 2056.59, 'TV', 2),
(22, '2024-09-06', 2, 1590.78, 'headphones', 7),
(22, '2024-09-06', 2, 279.22, 'humidifier', 7),
(22, '2024-09-06', 3, 1357.2, 'humidifier', 7),
(23, '2024-07-28', 1, 432.49, 'tablet', 17),
(23, '2024-07-28', 1, 286.22, 'robot vacuum cleaner', 17),
(23, '2024-07-28', 5, 2380.91, 'TV', 17),
(24, '2024-10-02', 2, 1761.52, 'headphones', 15),
